edge_id,source,target,length,highway_type
125,24081972,224865393,84.09289466599186,primary_link
126,24081972,243461145,50.436864443036455,primary
127,24265131,29025724,17.837297542324738,secondary
128,24265131,5475576580,328.75214834882394,secondary
129,24619926,24622693,116.35012288664029,primary
130,24620306,252843868,92.77683936736817,residential
131,24620306,252843900,354.78507293051706,primary
132,24620582,11580580035,10.699875042894012,residential
133,24620582,251588539,101.34501639834232,primary
134,24620804,5673914189,28.436767852848522,primary
135,24620804,24622022,126.38958063658859,primary
136,24620804,2587602607,86.65841162134737,residential
137,24622022,261684634,66.2372678378524,residential
138,24622022,24620804,126.38958063658859,primary
139,24622022,2633330021,179.70575372360554,primary
140,24622693,252843908,44.57090002240792,primary
141,24622693,252843913,284.8716193750997,residential
142,24623554,5654077639,39.11705906422166,residential
143,24623554,5654077661,13.530585298409234,primary
144,24624083,261684502,56.10029480840626,residential
145,24624083,261684287,242.43446920498477,primary
146,24624083,9994714887,499.5270330603364,primary
147,24624248,11399862231,13.491666936108025,residential
148,24624248,7282502959,236.42672906033675,primary
149,24624248,9994714887,373.8659646648907,primary
150,24651214,29670458,14.966140105358836,primary
151,24654617,29670456,13.9736052947929,primary
152,25004300,61091678,17.265051972948157,primary
153,25006460,92284609,192.69322162851236,tertiary
154,25006460,92281786,317.9825000663915,tertiary
155,25006460,9917009342,8.463709135224468,residential
156,25006816,6640187380,50.28635450833914,primary
157,25006816,246783104,10.064947735256952,residential
158,25006816,246781975,223.05789591839238,residential
159,25006991,252176253,308.33527372425624,tertiary
160,25007657,26365520,251.94219706256294,secondary
161,25007657,32518950,61.07282042641679,residential
162,25007657,26272868,131.12162258798375,secondary
163,25007657,2977200181,151.64912493065222,residential
164,25008153,7016074499,4.863338473552955,tertiary
165,25008153,9917009351,33.06395489235132,residential
166,25008153,11499379260,313.60023637021027,tertiary
167,25008513,590282967,137.7187609024058,tertiary
168,25008513,33471559,430.70586926242794,primary
169,25008795,96347901,8.400525350757414,tertiary
170,25250036,32928505,90.0773613094007,secondary
171,25250036,25250131,286.8752051685625,primary
172,25250131,61091672,10.60186975590805,primary
173,25250131,25629685,274.10135446379604,primary
174,25353129,33471551,19.182826433693,primary
175,25353129,9883633497,18.336322026391233,primary
176,25353133,681229298,164.93058925770873,primary
177,25629538,33006690,53.37072679254653,tertiary
178,25629538,26082618,59.01241959035175,residential
179,25629538,33006857,196.16973221337219,tertiary
180,25629539,32285101,52.824785196694314,tertiary
181,25629539,31241785,49.660480846756485,tertiary
182,25629539,32087820,253.4860405561695,residential
183,25629540,25629551,33.83960797071348,secondary
184,25629540,32618887,253.01495192513403,residential
185,25629540,32087315,47.870000384496876,secondary
186,25629548,219725819,61.60339257105824,secondary
187,25629548,32285101,58.46105685174951,tertiary
188,25629548,189938881,252.89431381153264,secondary
189,25629548,32569985,254.5168725436752,secondary
190,25629549,26082635,187.39843402432575,tertiary
191,25629549,25629553,94.83068946728508,secondary
192,25629549,9883633506,67.15881591209693,secondary
193,25629551,25629540,33.83960797071348,secondary
194,25629551,32618855,69.08829165087481,secondary
195,25629551,628633446,181.99502215086656,residential
196,25629553,215023856,74.80382741857082,secondary
197,25629553,25629549,94.83068946728508,secondary
198,25629559,32618898,52.11499478350364,secondary
199,25629559,32618933,48.16801728874266,residential
200,25629559,251587831,314.29009905757636,residential
201,25629559,215023856,49.542111006333926,secondary
202,25629564,33471556,11.782075036769191,secondary
203,25629564,21834383,134.56744376692126,primary
204,25629569,6622140388,6.977837389190103,secondary
205,25629569,6622140390,71.78448495027696,secondary
206,25629569,246782510,67.82751552991937,tertiary
207,25629578,8371178545,254.766866165957,tertiary
208,25629578,605288596,34.76952703775816,secondary
209,25629578,189938881,253.55347419024665,secondary
210,25629578,32087315,63.59612470920047,secondary
211,25629579,32618928,318.14464131587886,residential
212,25629579,33007038,191.5452832181414,residential
213,25629579,32618931,56.74516364636068,secondary
214,25629579,32618910,50.63233186471681,secondary
215,25629582,25783681,293.85224364390746,secondary
216,25629582,32618855,55.27618376719228,secondary
217,25629582,251588202,247.15985535937284,residential
218,25629582,206874528,58.291004468515126,secondary
219,25629685,61091675,9.215707814989178,tertiary
220,25629685,31909246,78.78064445860454,tertiary
221,25629685,130168307,113.40052374046873,primary
222,25629687,31909344,92.1383925037934,tertiary
223,25629687,6618409266,47.60519240052529,tertiary
224,25629687,12067544,254.73729330603672,residential
225,25629687,32928343,263.5542773921618,residential
226,25629690,6618409266,24.93785911344539,tertiary
227,25629690,6618409271,33.01426461936805,secondary
228,25629690,40832294,181.7689606444882,secondary
229,25629704,40834830,290.5403528519815,primary
230,25629704,25629745,285.27221707694093,secondary
231,25629704,40835995,62.072940225203745,primary
232,25629724,256214107,238.38563230530698,tertiary
233,25629724,5828824585,313.89201814765636,secondary
234,25629724,3922129636,61.980822850060136,secondary
235,25629740,31393667,297.66758784821087,primary
236,25629740,9932640358,288.179889815294,secondary
237,25629745,40835986,201.80896558137223,residential
238,25629745,40834981,97.2200265485419,tertiary
239,25629745,25629704,285.27221707694093,secondary
240,25783681,25629582,293.85224364390746,secondary
241,25783681,32618859,52.596486427811854,tertiary
242,25783681,30917449,266.7331782823971,secondary
243,25783681,33007032,59.48694680042612,tertiary
244,26082576,246782717,251.66921700882978,secondary
245,26082576,60095311,94.38857895733065,secondary
246,26082576,246784664,80.18220820563963,secondary
247,26082580,33006743,51.360872852176946,tertiary
248,26082580,26082703,56.314616115199,tertiary
249,26082601,11436723284,13.449066936392205,unclassified
250,26082601,1350934367,31.244161111131152,unclassified
251,26082601,1161442585,282.68748902133603,primary
252,26082606,32087876,60.756356143554,tertiary
253,26082606,32569985,254.2562276494275,secondary
254,26082606,60979972,121.75785940864598,tertiary
255,26082606,32569986,276.5475510769991,secondary
256,26082614,30763115,209.72548010489334,unclassified
257,26082614,30763089,105.29602237758515,unclassified
258,26082614,3983839987,121.68182813546748,unclassified
259,26082614,30763142,155.88439217622835,unclassified
260,26082617,17216409,535.7258903315445,tertiary
261,26082617,17216429,250.96708460938393,unclassified
262,26082617,30763118,158.19328251509305,unclassified
263,26082618,25629538,59.01241959035175,residential
264,26082618,33005807,67.98175893433512,residential
265,26082618,33005914,301.95223108610645,residential
266,26082623,215022353,28.321668946524774,tertiary
267,26082623,26082703,69.90589438843003,tertiary
268,26082623,33005923,72.63154010975964,residential
269,26082626,245865332,81.68423657919683,residential
270,26082626,767059718,11.103973341662684,tertiary
271,26082626,26832002,353.79504422944956,secondary
272,26082635,206873970,314.95577052948966,tertiary
273,26082635,25629538,73.96521842337957,tertiary
274,26082642,245865428,85.75526402270695,residential
275,26082642,767059712,8.706836771564644,residential
276,26082642,26082626,215.23512544200605,secondary
277,26082644,30763092,138.86924654468595,residential
278,26082644,30763175,101.00635419710154,residential
279,26082644,26082684,39.36582492823125,residential
280,26082645,33005908,64.63170684122487,tertiary
281,26082645,33005925,88.6978506460919,tertiary
282,26082645,11961310603,236.28675177075786,tertiary
283,26082653,33625122,207.62579090877608,unclassified
284,26082653,433178891,28.524068996873936,residential
285,26082653,30763150,17.91949957124884,unclassified
286,26082656,32089050,210.94780230251806,residential
287,26082656,26082660,75.53256398140465,tertiary
288,26082656,32088858,23.32598315506606,tertiary
289,26082660,32089051,201.73643402652726,tertiary
290,26082660,587667667,42.90280523789197,residential
291,26082660,26082656,75.53256398140465,tertiary
292,26082684,3983839987,210.40441504913875,unclassified
293,26082684,26082644,39.36582492823125,residential
294,26082684,30763115,119.53636840002935,unclassified
295,26082690,5320266644,128.72959331937557,tertiary
296,26082690,32088713,69.57469790577777,residential
297,26082690,32088853,226.60898404316825,tertiary
298,26082690,33084602,61.756532343601734,residential
299,26082703,33006670,76.78224599728476,residential
300,26082703,33006430,232.2411549791234,tertiary
301,26082703,33005914,53.03349263222597,residential
302,26082703,26082580,56.314616115199,tertiary
303,26082703,26082623,69.90589438843003,tertiary
304,26272568,3083905364,67.8907288382349,primary
305,26272571,26272674,347.2053652263703,residential
306,26272571,4659861296,285.8311285083175,primary
307,26272599,5425793473,104.97367902151036,residential
308,26272599,4659861296,158.25471915323828,residential
309,26272599,26272883,118.2135813651464,residential
310,26272599,243441747,610.8291263402498,residential
311,26272652,32518961,131.00731877088887,residential
312,26272655,29500569,17.92294683778673,primary
313,26272655,8666963619,30.760931548160414,primary
314,26272672,4831265108,161.07427482888758,residential
315,26272672,8292586444,152.8042491520859,residential
316,26272672,8653660273,221.13504083018657,residential
317,26272672,32518973,118.88842639492762,residential
318,26272674,26272571,347.20536522637036,residential
319,26272674,26272571,148.18003572089867,primary
320,26272868,25007657,131.12162258798375,secondary
321,26272868,78038857,108.85777679635322,primary
322,26272883,8313669185,104.1753285828271,residential
323,26272883,26272945,80.74692839247922,residential
324,26272883,26272599,118.2135813651464,residential
325,26272883,32518545,128.12083244389098,residential
326,26272885,243441742,25.59885140321578,residential
327,26272885,5464302309,107.25961649612685,residential
328,26272885,26281437,67.08106417968479,residential
329,26272945,5464302309,177.72247391080307,residential
